effect_type,feature,qp,resampling,n_images,n_clusters,family_size,alpha,bootstrap_resamples,rho_clean,rho_noisy_mean3,b_homogeneity,b_other,estimate,bound_low,bound_high,simultaneous_low,simultaneous_high,critical_value,evaluable,invalid_resamples,excludes_zero
B,glcm_entropy,37,scene_cluster,48,47,44,0.05,99999,0.6910551454624404,0.2523182337959697,-0.6325609452638039,-0.4387369116664707,-0.4387369116664707,-2.0,2.0,-0.9413702173930287,0.06389639406008735,0.5026333057265581,True,0,False
B,glcm_homogeneity,22,scene_cluster,48,47,44,0.05,99999,-0.6673903603994791,0.21859169199594733,-0.8859820523954264,-0.8859820523954264,-0.8859820523954264,-2.0,2.0,-1.3886153581219844,-0.3833487466688683,0.5026333057265581,True,0,True
B,glcm_homogeneity,27,scene_cluster,48,47,44,0.05,99999,-0.7132001736864961,-0.03316364388201712,-0.680036529804479,-0.680036529804479,-0.680036529804479,-2.0,2.0,-1.182669835531037,-0.17740322407792097,0.5026333057265581,True,0,True
B,glcm_homogeneity,32,scene_cluster,48,47,44,0.05,99999,-0.7526052974381242,0.01641008977567428,-0.7690153872137985,-0.7690153872137985,-0.7690153872137985,-2.0,2.0,-1.2716486929403565,-0.2663820814872404,0.5026333057265581,True,0,True
B,glcm_homogeneity,37,scene_cluster,48,47,44,0.05,99999,-0.7990664350846723,-0.16650548982086838,-0.6325609452638039,-0.6325609452638039,-0.6325609452638039,-2.0,2.0,-1.135194250990362,-0.12992763953724584,0.5026333057265581,True,0,True
C,sobel_si,22,scene_cluster,48,47,44,0.05,99999,0.6581632653061226,0.7815892314372558,-0.8859820523954264,0.12342596613113321,-1.0094080185265595,-4.0,4.0,-1.5120413242531177,-0.5067747128000014,0.5026333057265581,True,0,True
C,sobel_si,27,scene_cluster,48,47,44,0.05,99999,0.6781372123317413,0.8494611527974416,-0.680036529804479,0.17132394046570032,-0.8513604702701794,-4.0,4.0,-1.3539937759967375,-0.3487271645436213,0.5026333057265581,True,0,True
C,sobel_si,32,scene_cluster,48,47,44,0.05,99999,0.7594442032132003,0.8850492266605822,-0.7690153872137985,0.1256050234473819,-0.8946204106611804,-4.0,4.0,-1.3972537163877385,-0.3919871049346223,0.5026333057265581,True,0,True
C,sobel_si,37,scene_cluster,48,47,44,0.05,99999,0.8447676943117673,0.8780836936320174,-0.6325609452638039,0.03331599932025009,-0.665876944584054,-4.0,4.0,-1.1685102503106122,-0.16324363885749593,0.5026333057265581,True,0,True
C,luma_sd,22,scene_cluster,48,47,44,0.05,99999,0.04320451584889279,0.24120712114633092,-0.8859820523954264,0.19800260529743813,-1.0839846576928645,-4.0,4.0,-1.5866179634194224,-0.5813513519663064,0.5026333057265581,True,0,True
C,luma_sd,27,scene_cluster,48,47,44,0.05,99999,0.08608336951802,0.22235700195129351,-0.680036529804479,0.1362736324332735,-0.8163101622377525,-4.0,4.0,-1.3189434679643106,-0.3136768565111945,0.5026333057265581,True,0,True
C,luma_sd,32,scene_cluster,48,47,44,0.05,99999,0.10811984368215374,0.2263914967988776,-0.7690153872137985,0.11827165311672386,-0.8872870403305223,-4.0,4.0,-1.3899203460570804,-0.38465373460396424,0.5026333057265581,True,0,True
C,luma_sd,37,scene_cluster,48,47,44,0.05,99999,0.18237082066869303,0.32179338797981666,-0.6325609452638039,0.13942256731112362,-0.7719835125749275,-4.0,4.0,-1.2746168183014857,-0.2693502068483694,0.5026333057265581,True,0,True
C,edge_fraction,22,scene_cluster,48,47,44,0.05,99999,0.6140903169778551,-0.008774950019781902,-0.8859820523954264,-0.622865266997637,-0.2631167853977894,-4.0,4.0,-0.7657500911243474,0.2395165203287687,0.5026333057265581,True,0,False
C,edge_fraction,27,scene_cluster,48,47,44,0.05,99999,0.6659791576204952,0.25753144096319597,-0.680036529804479,-0.40844771665729923,-0.2715888131471798,-4.0,4.0,-0.7742221188737379,0.23104449257937826,0.5026333057265581,True,0,False
