distortion,level,seed,qp,feature,primary,n_images,family,reference_index,cell_index,raw_rho_difference,oriented_difference,pointwise_low,pointwise_high,pointwise_invalid_resamples,pointwise_evaluable,pointwise_degenerate,simultaneous_low,simultaneous_high
stripes,8,,22,edge_fraction,True,24,RQ2,218,242,0.03304347826086951,0.03304347826086951,-0.03496579939518287,0.12428884026258202,0,True,False,-0.666682262691919,0.732769219213658
stripes,8,,22,glcm_contrast,True,24,RQ2,219,243,0.026956521739130435,0.026956521739130435,-0.0395952485701715,0.11383537653239928,0,True,False,-0.6727692192136581,0.7266822626919189
stripes,8,,22,glcm_entropy,True,24,RQ2,220,244,0.0,0.0,-0.09549048467447735,0.10931351114997812,0,True,False,-0.6997257409527885,0.6997257409527885
stripes,8,,22,glcm_homogeneity,True,24,RQ2,221,245,-0.004347826086956497,0.004347826086956497,-0.08409986859395537,0.09960681520314552,0,True,False,-0.695377914865832,0.704073567039745
stripes,8,,27,sobel_si,True,24,RQ2,222,246,0.053043478260869636,0.053043478260869636,-0.04492207360846521,0.18659774018618955,0,True,False,-0.6466822626919189,0.7527692192136581
stripes,8,,27,luma_sd,True,24,RQ2,223,247,0.049565217391304345,0.049565217391304345,-0.09602793539938886,0.23911159951159955,0,True,False,-0.6501605235614841,0.7492909583440929
stripes,8,,27,edge_fraction,True,24,RQ2,224,248,0.011304347826086802,0.011304347826086802,-0.06809253601047582,0.10912503645363779,0,True,False,-0.6884213931267017,0.7110300887788753
stripes,8,,27,glcm_contrast,True,24,RQ2,225,249,0.02608695652173909,0.02608695652173909,-0.05676855895196509,0.1267488673298534,0,True,False,-0.6736387844310494,0.7258126974745276
stripes,8,,27,glcm_entropy,True,24,RQ2,226,250,-0.017391304347826098,-0.017391304347826098,-0.12028259390263411,0.08322382829610155,0,True,False,-0.7171170453006146,0.6823344366049624
stripes,8,,27,glcm_homogeneity,True,24,RQ2,227,251,0.009565217391304448,-0.009565217391304448,-0.13007420340462672,0.10314685314685312,0,True,False,-0.709290958344093,0.690160523561484
stripes,8,,32,sobel_si,True,24,RQ2,228,252,0.003478260869565153,0.003478260869565153,-0.087989441267048,0.08252853380158032,0,True,False,-0.6962474800832233,0.7032040018223537
stripes,8,,32,luma_sd,True,24,RQ2,229,253,0.020869565217391306,0.020869565217391306,-0.04561403508771922,0.10775295663600526,0,True,False,-0.6788561757353972,0.7205953061701798
stripes,8,,32,edge_fraction,True,24,RQ2,230,254,-0.003478260869565375,-0.003478260869565375,-0.06896702303869905,0.05962427990185893,0,True,False,-0.7032040018223539,0.6962474800832231
stripes,8,,32,glcm_contrast,True,24,RQ2,231,255,-0.00782608695652176,-0.00782608695652176,-0.09868995633187772,0.06806431266439823,0,True,False,-0.7075518279093103,0.6918996539962667
stripes,8,,32,glcm_entropy,True,24,RQ2,232,256,-0.01043478260869557,-0.01043478260869557,-0.12099956159579128,0.09824561403508769,0,True,False,-0.7101605235614841,0.6892909583440929
stripes,8,,32,glcm_homogeneity,True,24,RQ2,233,257,0.01826086956521733,-0.01826086956521733,-0.11266375545851526,0.046348928727590784,0,True,False,-0.7179866105180058,0.6814648713875712
stripes,8,,37,sobel_si,True,24,RQ2,234,258,0.020000000000000018,0.020000000000000018,-0.03409090909090906,0.08965883827668121,0,True,False,-0.6797257409527885,0.7197257409527885
stripes,8,,37,luma_sd,True,24,RQ2,235,259,0.034782608695652195,0.034782608695652195,0.0,0.1268591426071741,0,True,False,-0.6649431322571363,0.7345083496484407
stripes,8,,37,edge_fraction,True,24,RQ2,236,260,-0.006956521739130528,-0.006956521739130528,-0.08252853380158032,0.05417212756662294,0,True,False,-0.706682262691919,0.692769219213658
stripes,8,,37,glcm_contrast,True,24,RQ2,237,261,0.006956521739130417,0.006956521739130417,-0.05872042068361094,0.07479267100623992,0,True,False,-0.6927692192136581,0.7066822626919189
stripes,8,,37,glcm_entropy,True,24,RQ2,238,262,0.03826086956521746,0.03826086956521746,-0.02541685862059832,0.13811188811188813,0,True,False,-0.661464871387571,0.737986610518006
stripes,8,,37,glcm_homogeneity,True,24,RQ2,239,263,-0.00782608695652176,0.00782608695652176,-0.0554101898273526,0.0788436268068331,0,True,False,-0.6918996539962667,0.7075518279093103
stripes,16,,22,sobel_si,True,24,RQ2,216,264,0.021739130434782594,0.021739130434782594,-0.08252853380158032,0.14610773785319103,0,True,False,-0.6779866105180059,0.7214648713875711
stripes,16,,22,luma_sd,True,24,RQ2,217,265,0.06782608695652173,0.06782608695652173,-0.026258205689277864,0.21619256017505473,0,True,False,-0.6318996539962668,0.7675518279093102
stripes,16,,22,edge_fraction,True,24,RQ2,218,266,0.0304347826086957,0.0304347826086957,-0.09162338261411096,0.16557161629434936,0,True,False,-0.6692909583440928,0.7301605235614842
stripes,16,,22,glcm_contrast,True,24,RQ2,219,267,0.05130434782608695,0.05130434782608695,-0.08220376038478355,0.20970314089580164,0,True,False,-0.6484213931267016,0.7510300887788754
stripes,16,,22,glcm_entropy,True,24,RQ2,220,268,-0.047826086956521685,-0.047826086956521685,-0.19580419580419572,0.08859649122807017,0,True,False,-0.7475518279093102,0.6518996539962668
stripes,16,,22,glcm_homogeneity,True,24,RQ2,221,269,-0.053043478260869414,0.053043478260869414,-0.10747051114023587,0.24912587412587406,0,True,False,-0.6466822626919191,0.7527692192136579
stripes,16,,27,sobel_si,True,24,RQ2,222,270,0.019130434782608785,0.019130434782608785,-0.07688947138488422,0.1359082850704141,0,True,False,-0.6805953061701797,0.7188561757353973
stripes,16,,27,luma_sd,True,24,RQ2,223,271,0.013043478260869545,0.013043478260869545,-0.11363636363636365,0.15478793178836892,0,True,False,-0.6866822626919189,0.7127692192136581
stripes,16,,27,edge_fraction,True,24,RQ2,224,272,0.042608695652173845,0.042608695652173845,-0.059389943550033235,0.16360454943132108,0,True,False,-0.6571170453006147,0.7423344366049623
stripes,16,,27,glcm_contrast,True,24,RQ2,225,273,0.06869565217391294,0.06869565217391294,-0.04205085563646716,0.22290478279947346,0,True,False,-0.6310300887788756,0.7684213931267014
