distortion,level,seed,qp,feature,primary,n_images,rho,oriented_rho,ci_low,ci_high,ci_invalid_resamples,ci_evaluable,ci_degenerate,permutation_p,holm_p,unique_feature_values,unique_density_values
awgn,30,20260811,27,edge_fraction,True,24,0.46869565217391296,0.46869565217391296,0.006576063130206032,0.7995667472638135,0,True,False,0.02256,0.85728,24,24
awgn,30,20260811,27,glcm_contrast,True,24,0.4556521739130434,0.4556521739130434,-0.014442013129102826,0.8014866637516397,0,True,False,0.02687,0.94045,24,24
awgn,30,20260811,27,glcm_entropy,True,24,0.2304347826086956,0.2304347826086956,-0.24101665205959688,0.6334940815431828,0,True,False,0.27734,1.0,24,24
awgn,30,20260811,27,glcm_homogeneity,True,24,-0.08347826086956517,0.08347826086956517,-0.46332894158981114,0.3502849627356422,0,True,False,0.69713,1.0,24,24
awgn,30,20260811,32,sobel_si,True,24,0.7765217391304348,0.7765217391304348,0.48115189936951536,0.9165202108963093,0,True,False,4e-05,0.004520000000000001,24,24
awgn,30,20260811,32,luma_sd,True,24,0.577391304347826,0.577391304347826,0.20157739109174405,0.8097385851566321,0,True,False,0.00347,0.17003,24,24
awgn,30,20260811,32,edge_fraction,True,24,0.4626086956521739,0.4626086956521739,0.023580786026200867,0.7566739606126914,0,True,False,0.02449,0.8816400000000001,24,24
awgn,30,20260811,32,glcm_contrast,True,24,0.4782608695652174,0.4782608695652174,0.03752044856353899,0.7857455181460429,0,True,False,0.0197,0.7683,24,24
awgn,30,20260811,32,glcm_entropy,True,24,0.28260869565217384,0.28260869565217384,-0.18479829984141943,0.6666666666666665,0,True,False,0.1804,1.0,24,24
awgn,30,20260811,32,glcm_homogeneity,True,24,-0.051304347826086935,0.051304347826086935,-0.4182001351858342,0.3476923076923076,0,True,False,0.8113,1.0,24,24
awgn,30,20260811,37,sobel_si,True,24,0.7304347826086955,0.7304347826086955,0.390275429395416,0.9195470139829564,0,True,False,7e-05,0.00686,24,24
awgn,30,20260811,37,luma_sd,True,24,0.28608695652173916,0.28608695652173916,-0.16820459559995252,0.660973151029692,0,True,False,0.17352,1.0,24,24
awgn,30,20260811,37,edge_fraction,True,24,0.6513043478260869,0.6513043478260869,0.2859649122807017,0.8589575120455543,0,True,False,0.0007,0.0427,24,24
awgn,30,20260811,37,glcm_contrast,True,24,0.6295652173913042,0.6295652173913042,0.24463894967177247,0.8576449912126538,0,True,False,0.00133,0.07448,24,24
awgn,30,20260811,37,glcm_entropy,True,24,0.368695652173913,0.368695652173913,-0.08525789833804628,0.7161629434954009,0,True,False,0.07686,1.0,24,24
awgn,30,20260811,37,glcm_homogeneity,True,24,-0.2652173913043478,0.2652173913043478,-0.587746170678337,0.15178316466101746,0,True,False,0.21016,1.0,24,24
awgn,30,20260812,22,sobel_si,False,24,0.7556521739130434,0.7556521739130434,0.4831066257130321,0.9022261021388038,0,True,False,nan,nan,24,24
awgn,30,20260812,22,luma_sd,False,24,0.6243478260869564,0.6243478260869564,0.240052470485352,0.8553297810169058,0,True,False,nan,nan,24,24
awgn,30,20260812,22,edge_fraction,False,24,0.3721739130434783,0.3721739130434783,-0.11081689307377011,0.757898645696811,0,True,False,nan,nan,24,24
